date,weighted_same_sector,structural_same_sector,lift
2021-03-26,0.3276671272230746,0.3108974358974359,0.016769691325638714
2021-03-29,0.3238206843878009,0.3108974358974359,0.01292324849036497
2021-03-30,0.34055369186431367,0.3108974358974359,0.029656255966877765
2021-03-31,0.32596497726125495,0.3108974358974359,0.015067541363819048
2021-04-01,0.32515028283524844,0.3108974358974359,0.014252846937812536
2021-04-05,0.335376318801959,0.3108974358974359,0.024478882904523103
2021-04-06,0.34568083129180915,0.3108974358974359,0.03478339539437325
2021-04-07,0.3231090509832807,0.3108974358974359,0.012211615085844785
2021-04-08,0.34457770260548687,0.3108974358974359,0.033680266708050965
2021-04-09,0.33016239257006313,0.3108974358974359,0.01926495667262723
2021-04-12,0.3299876899716546,0.3108974358974359,0.019090254074218715
2021-04-13,0.32900945548994043,0.3108974358974359,0.018112019592504525
2021-04-14,0.35097724947593073,0.3108974358974359,0.04007981357849483
2021-04-15,0.3282738945624484,0.3108974358974359,0.017376458665012473
2021-04-16,0.33645368199005216,0.3108974358974359,0.025556246092616253
2021-04-19,0.33985327346703664,0.3108974358974359,0.02895583756960074
2021-04-20,0.3380670571190331,0.3108974358974359,0.027169621221597218
2021-04-21,0.32722437753260464,0.3108974358974359,0.016326941635168735
2021-04-22,0.326314075374031,0.3108974358974359,0.015416639476595106
2021-04-23,0.3389205989219651,0.3108974358974359,0.028023163024529174
2021-04-26,0.3574096236383897,0.3108974358974359,0.04651218774095378
2021-04-27,0.35508950459973415,0.3108974358974359,0.04419206870229825
2021-04-28,0.3375063536435551,0.3108974358974359,0.026608917746119176
2021-04-29,0.33607667083060255,0.3108974358974359,0.02517923493316665
