date,self_weight,neighbour_weight
2023-05-08,0.08103035,0.91896963
2023-05-09,0.09519467,0.9048053
2023-05-10,0.07613268,0.92386734
2023-05-11,0.08606117,0.9139388
2023-05-12,0.078936696,0.9210633
2023-05-15,0.0846339,0.9153661
2023-05-16,0.08718238,0.9128176
2023-05-17,0.09925108,0.9007489
2023-05-18,0.08910708,0.9108929
2023-05-19,0.09362647,0.9063735
2023-05-22,0.083033435,0.91696656
2023-05-23,0.08751004,0.91248995
2023-05-24,0.08344692,0.9165531
2023-05-25,0.081566885,0.9184331
2023-05-26,0.08536759,0.91463244
2023-05-30,0.083606035,0.916394
2023-05-31,0.0881174,0.9118826
2023-06-01,0.08229752,0.9177025
2023-06-02,0.08297329,0.9170267
2023-06-05,0.08042001,0.91958
2023-06-06,0.0810035,0.9189965
2023-06-07,0.07749362,0.9225064
2023-06-08,0.08415635,0.91584367
2023-06-09,0.08215887,0.91784114
2023-06-12,0.07861419,0.9213858
2023-06-13,0.08343907,0.91656095
2023-06-14,0.08717919,0.9128208
2023-06-15,0.076791145,0.92320883
2023-06-16,0.08741622,0.91258377
2023-06-20,0.08249473,0.91750526
2023-06-21,0.088953525,0.9110465
2023-06-22,0.08092294,0.91907704
2023-06-23,0.083134644,0.91686535
2023-06-26,0.0835782,0.9164218
2023-06-27,0.079803,0.920197
2023-06-28,0.08285169,0.9171483
2023-06-29,0.07993701,0.920063
2023-06-30,0.08340682,0.9165932
2023-07-03,0.08180909,0.9181909
2023-07-05,0.07745512,0.9225449
2023-07-06,0.07988747,0.92011255
2023-07-07,0.08683897,0.91316104
2023-07-10,0.08908895,0.9109111
2023-07-11,0.080749996,0.91925
2023-07-12,0.08406571,0.91593426
2023-07-13,0.08062578,0.9193742
2023-07-14,0.073997095,0.9260029
2023-07-17,0.08785381,0.9121462
2023-07-18,0.08327937,0.9167206
2023-07-19,0.09005272,0.9099473
2023-07-20,0.08937304,0.91062695
2023-07-21,0.08331618,0.9166838
2023-07-24,0.082374856,0.9176251
2023-07-25,0.09149948,0.90850055
2023-07-26,0.09881666,0.90118337
2023-07-27,0.08436144,0.91563857
2023-07-28,0.09189572,0.9081043
2023-07-31,0.0900602,0.9099398
2023-08-01,0.0839809,0.9160191
2023-08-02,0.07924694,0.92075306
2023-08-03,0.099518135,0.9004819
2023-08-04,0.10930916,0.89069086
2023-08-07,0.09194622,0.90805376
2023-08-08,0.09541282,0.90458715
2023-08-09,0.09152102,0.908479
2023-08-10,0.0905399,0.90946007
2023-08-11,0.07687406,0.9231259
2023-08-14,0.08557274,0.9144273
2023-08-15,0.084798925,0.91520107
2023-08-16,0.085574016,0.91442597
2023-08-17,0.091571264,0.9084287
2023-08-18,0.09009954,0.9099004
2023-08-21,0.10449392,0.8955061
2023-08-22,0.10501851,0.8949815
2023-08-23,0.09317217,0.9068278
2023-08-24,0.08608473,0.9139153
2023-08-25,0.0960766,0.9039234
2023-08-28,0.08639315,0.9136069
2023-08-29,0.08652778,0.91347224
2023-08-30,0.08608675,0.91391325
2023-08-31,0.08988119,0.9101188
2023-09-01,0.081638984,0.918361
2023-09-05,0.08683142,0.91316855
2023-09-06,0.08299844,0.91700155
2023-09-07,0.08044747,0.9195525
2023-09-08,0.0855161,0.9144839
2023-09-11,0.083768174,0.9162318
2023-09-12,0.09454199,0.90545803
2023-09-13,0.08333015,0.91666985
2023-09-14,0.08370867,0.91629136
2023-09-15,0.08863752,0.91136247
2023-09-18,0.087025404,0.9129746
2023-09-19,0.08703973,0.9129603
2023-09-20,0.08134873,0.9186513
2023-09-21,0.081864804,0.91813517
2023-09-22,0.08316244,0.9168376
2023-09-25,0.07672399,0.923276
2023-09-26,0.07706945,0.92293054
2023-09-27,0.08366147,0.91633856
2023-09-28,0.08242223,0.91757774
2023-09-29,0.08660746,0.91339254
2023-10-02,0.08357916,0.9164208
2023-10-03,0.08026361,0.9197364
2023-10-04,0.08057799,0.91942203
2023-10-05,0.07814994,0.9218501
2023-10-06,0.07861631,0.9213837
2023-10-09,0.08574221,0.91425776
2023-10-10,0.08634701,0.913653
2023-10-11,0.08378811,0.9162119
2023-10-12,0.08421194,0.91578805
2023-10-13,0.0839337,0.9160663
2023-10-16,0.079570204,0.9204298
2023-10-17,0.08400219,0.9159978
2023-10-18,0.083602875,0.9163971
2023-10-19,0.08268268,0.91731733
2023-10-20,0.080179796,0.9198202
2023-10-23,0.08221598,0.91778404
2023-10-24,0.081959635,0.9180404
2023-10-25,0.08295925,0.91704077
2023-10-26,0.08267297,0.91732705
2023-10-27,0.08838338,0.9116166
2023-10-30,0.082475595,0.9175244
2023-10-31,0.08521226,0.91478777
2023-11-01,0.09126425,0.90873575
2023-11-02,0.086584985,0.913415
2023-11-03,0.082799785,0.9172002
2023-11-06,0.091950506,0.90804946
2023-11-07,0.08476926,0.91523075
2023-11-08,0.081493996,0.918506
2023-11-09,0.08084375,0.91915625
